precision,recall,f1-score,support
0.52,0.77,0.62,1524.0
0.58,0.37,0.45,645.0
0.55,0.26,0.35,570.0
0.66,0.17,0.28,454.0
0.62,0.37,0.46,614.0
0.67,0.01,0.02,160.0
0.5,0.52,0.51,386.0
0.56,0.69,0.62,1571.0
0.64,0.52,0.58,1332.0
0.56,0.44,0.49,420.0
1.0,0.02,0.04,164.0
0.55,0.55,0.55,932.0
0.56,0.86,0.68,2294.0
1.0,0.01,0.01,180.0
0.56,0.86,0.68,1033.0
0.58,0.15,0.24,431.0
0.45,0.3,0.36,367.0
0.58,0.13,0.21,582.0
0.5603631305366426,0.5603631305366426,0.5603631305366426,0.5603631305366426
0.62,0.39,0.4,13659.0
0.58,0.56,0.52,13659.0
0.8089904092539717,0.8089904092539717,0.8089904092539717,0.8089904092539717
