precision,recall,f1-score,support
0.48,0.68,0.56,1524.0
0.32,0.03,0.05,645.0
0.36,0.1,0.16,570.0
0.93,0.89,0.91,454.0
0.9,0.62,0.74,614.0
0.93,0.67,0.78,160.0
0.61,0.53,0.57,386.0
0.39,0.43,0.41,1571.0
0.31,0.32,0.31,1332.0
0.57,0.28,0.37,420.0
0.0,0.0,0.0,164.0
0.59,0.64,0.61,932.0
0.44,0.7,0.54,2294.0
0.67,0.49,0.57,180.0
0.74,0.88,0.81,1033.0
0.75,0.33,0.46,431.0
0.66,0.32,0.43,367.0
0.71,0.33,0.45,582.0
0.5171681675086024,0.5171681675086024,0.5171681675086024,0.5171681675086024
0.58,0.46,0.48,13659.0
0.53,0.52,0.49,13659.0
0.8049637601581375,0.8049637601581375,0.8049637601581375,0.8049637601581375
