precision,recall,f1-score,support
0.53,0.92,0.67,1524.0
0.0,0.0,0.0,645.0
0.0,0.0,0.0,570.0
0.48,0.16,0.24,454.0
0.0,0.0,0.0,614.0
0.0,0.0,0.0,160.0
0.77,0.03,0.05,386.0
0.81,0.83,0.82,1571.0
0.81,0.79,0.8,1332.0
0.75,0.01,0.01,420.0
0.0,0.0,0.0,164.0
0.44,0.9,0.59,932.0
0.82,0.89,0.85,2294.0
0.0,0.0,0.0,180.0
0.36,0.97,0.53,1033.0
0.51,0.05,0.09,431.0
0.63,0.87,0.73,367.0
0.89,0.27,0.41,582.0
0.601801010322864,0.601801010322864,0.601801010322864,0.601801010322864
0.43,0.37,0.32,13659.0
0.56,0.6,0.52,13659.0
0.8846182004539132,0.8846182004539132,0.8846182004539132,0.8846182004539132
