precision,recall,f1-score,support
0.43,0.6,0.5,1524.0
0.62,0.01,0.02,645.0
0.42,0.06,0.1,570.0
0.94,0.8,0.87,454.0
0.75,0.57,0.65,614.0
0.74,0.54,0.63,160.0
0.42,0.43,0.43,386.0
0.36,0.32,0.34,1571.0
0.35,0.1,0.15,1332.0
0.43,0.28,0.34,420.0
0.0,0.0,0.0,164.0
0.4,0.58,0.48,932.0
0.34,0.71,0.45,2294.0
0.72,0.29,0.41,180.0
0.65,0.86,0.74,1033.0
0.67,0.16,0.26,431.0
0.49,0.1,0.16,367.0
0.66,0.26,0.38,582.0
0.44146716450691853,0.44146716450691853,0.44146716450691853,0.44146716450691853
0.52,0.37,0.38,13659.0
0.47,0.44,0.4,13659.0
0.7392195621934256,0.7392195621934256,0.7392195621934256,0.7392195621934256
