precision,recall,f1-score,support
0.72,0.77,0.74,1561.0
0.67,0.51,0.58,648.0
0.54,0.47,0.5,571.0
1.0,0.88,0.93,434.0
0.87,0.85,0.86,620.0
0.97,0.89,0.92,174.0
0.73,0.78,0.75,381.0
0.61,0.65,0.63,1580.0
0.6,0.66,0.63,1334.0
0.79,0.67,0.73,401.0
0.8,0.29,0.42,149.0
0.86,0.67,0.75,932.0
0.65,0.8,0.72,2310.0
0.83,0.85,0.84,175.0
0.92,0.86,0.89,1004.0
0.89,0.58,0.7,428.0
0.69,0.8,0.74,372.0
0.72,0.59,0.65,585.0
0.7144007614027381,0.7144007614027381,0.7144007614027381,0.7144007614027381
0.77,0.7,0.72,13659.0
0.73,0.71,0.71,13659.0
0.9087048832271762,0.9087048832271762,0.9087048832271762,0.9087048832271762
