precision,recall,f1-score,support
0.42,0.61,0.49,1524.0
0.44,0.01,0.01,645.0
0.57,0.03,0.05,570.0
0.91,0.82,0.86,454.0
0.77,0.58,0.66,614.0
0.72,0.57,0.63,160.0
0.43,0.38,0.4,386.0
0.39,0.25,0.3,1571.0
0.34,0.07,0.12,1332.0
0.5,0.19,0.28,420.0
0.0,0.0,0.0,164.0
0.49,0.55,0.52,932.0
0.33,0.79,0.46,2294.0
0.71,0.36,0.48,180.0
0.65,0.87,0.74,1033.0
0.73,0.18,0.28,431.0
0.71,0.11,0.2,367.0
0.42,0.29,0.34,582.0
0.4437367303609342,0.4437367303609342,0.4437367303609342,0.4437367303609342
0.53,0.37,0.38,13659.0
0.48,0.44,0.4,13659.0
0.7484442492129731,0.7484442492129731,0.7484442492129731,0.7484442492129731
