precision,recall,f1-score,support
0.47,0.71,0.57,1524.0
0.69,0.07,0.12,645.0
0.46,0.01,0.02,570.0
1.0,0.0,0.0,454.0
0.77,0.13,0.23,614.0
0.0,0.0,0.0,160.0
1.0,0.0,0.01,386.0
0.43,0.3,0.35,1571.0
0.42,0.74,0.54,1332.0
0.0,0.0,0.0,420.0
0.0,0.0,0.0,164.0
0.34,0.59,0.43,932.0
0.5,0.87,0.63,2294.0
0.0,0.0,0.0,180.0
0.45,0.89,0.6,1033.0
0.67,0.01,0.02,431.0
1.0,0.01,0.01,367.0
0.58,0.07,0.12,582.0
0.4525953583717695,0.4525953583717695,0.4525953583717695,0.4525953583717695
0.49,0.24,0.2,13659.0
0.5,0.45,0.36,13659.0
0.704077897357054,0.704077897357054,0.704077897357054,0.704077897357054
