precision,recall,f1-score,support
0.37,0.54,0.44,1524.0
0.3,0.06,0.09,645.0
0.46,0.08,0.14,570.0
0.75,0.76,0.76,454.0
0.6,0.58,0.59,614.0
0.77,0.41,0.54,160.0
0.49,0.22,0.3,386.0
0.29,0.45,0.35,1571.0
0.26,0.28,0.27,1332.0
0.38,0.19,0.25,420.0
1.0,0.01,0.02,164.0
0.44,0.37,0.4,932.0
0.35,0.53,0.42,2294.0
0.59,0.4,0.48,180.0
0.69,0.77,0.73,1033.0
0.64,0.15,0.24,431.0
0.37,0.04,0.07,367.0
0.56,0.18,0.27,582.0
0.4034702394025917,0.4034702394025917,0.4034702394025917,0.4034702394025917
0.52,0.33,0.35,13659.0
0.43,0.4,0.38,13659.0
0.696610293579325,0.696610293579325,0.696610293579325,0.696610293579325
