precision,recall,f1-score,support
0.56,0.26,0.36,1524.0
0.21,0.3,0.24,645.0
0.17,0.37,0.23,570.0
0.82,0.89,0.86,454.0
0.81,0.57,0.67,614.0
0.39,0.93,0.55,160.0
0.41,0.49,0.45,386.0
0.3,0.15,0.2,1571.0
0.27,0.27,0.27,1332.0
0.34,0.55,0.42,420.0
0.11,0.82,0.19,164.0
0.39,0.53,0.45,932.0
0.48,0.21,0.29,2294.0
0.53,0.88,0.66,180.0
0.79,0.72,0.75,1033.0
0.55,0.51,0.53,431.0
0.38,0.6,0.47,367.0
0.38,0.32,0.35,582.0
0.39278131634819535,0.39278131634819535,0.39278131634819535,0.39278131634819535
0.44,0.52,0.44,13659.0
0.45,0.39,0.39,13659.0
0.6562705908192401,0.6562705908192401,0.6562705908192401,0.6562705908192401
