precision,recall,f1-score,support
0.84,0.88,0.86,1561.0
0.8,0.8,0.8,648.0
0.85,0.72,0.78,571.0
0.98,0.99,0.99,434.0
0.88,0.95,0.92,620.0
0.98,0.95,0.96,174.0
0.89,0.92,0.91,381.0
0.86,0.81,0.83,1580.0
0.88,0.77,0.82,1334.0
0.89,0.84,0.86,401.0
0.85,0.67,0.75,149.0
0.9,0.91,0.9,932.0
0.79,0.91,0.84,2310.0
0.97,0.95,0.96,175.0
0.97,0.94,0.96,1004.0
0.93,0.87,0.9,428.0
0.89,0.95,0.92,372.0
0.88,0.81,0.84,585.0
0.8658759792078483,0.8658759792078483,0.8658759792078483,0.8658759792078483
0.89,0.87,0.88,13659.0
0.87,0.87,0.87,13659.0
0.9761329526319643,0.9761329526319643,0.9761329526319643,0.9761329526319643
