precision,recall,f1-score,support
0.34,0.65,0.44,1524.0
0.0,0.0,0.0,645.0
0.23,0.01,0.03,570.0
0.88,0.8,0.84,454.0
0.8,0.46,0.58,614.0
0.65,0.4,0.5,160.0
0.24,0.38,0.29,386.0
0.28,0.05,0.08,1571.0
0.25,0.14,0.18,1332.0
0.0,0.0,0.0,420.0
0.0,0.0,0.0,164.0
0.38,0.41,0.39,932.0
0.3,0.7,0.42,2294.0
0.44,0.28,0.34,180.0
0.58,0.85,0.69,1033.0
0.52,0.05,0.09,431.0
0.34,0.08,0.13,367.0
0.31,0.05,0.09,582.0
0.3755765429387217,0.3755765429387217,0.3755765429387217,0.3755765429387217
0.36,0.3,0.28,13659.0
0.35,0.38,0.31,13659.0
0.6939014569148547,0.6939014569148547,0.6939014569148547,0.6939014569148547
