precision,recall,f1-score,support
0.23,0.42,0.3,1174.0
0.11,0.02,0.03,541.0
0.0,0.0,0.0,468.0
0.81,0.81,0.81,398.0
0.49,0.54,0.51,521.0
0.24,0.92,0.38,135.0
0.25,0.53,0.34,335.0
0.17,0.03,0.06,1148.0
0.17,0.15,0.16,1012.0
0.12,0.18,0.14,334.0
0.03,0.73,0.06,144.0
0.11,0.09,0.1,759.0
0.33,0.0,0.0,1626.0
0.25,0.76,0.38,161.0
0.6,0.09,0.15,824.0
0.26,0.2,0.22,367.0
0.0,0.0,0.0,279.0
0.0,0.0,0.0,463.0
0.1959958836186734,0.1959958836186734,0.1959958836186734,0.1959958836186734
0.23,0.3,0.2,10689.0
0.25,0.2,0.16,10689.0
0.45841519318926,0.45841519318926,0.45841519318926,0.45841519318926
