precision,recall,f1-score,support
0.41,0.18,0.25,1524.0
0.15,0.12,0.14,645.0
0.12,0.29,0.17,570.0
0.72,0.82,0.77,454.0
0.65,0.49,0.56,614.0
0.44,0.89,0.59,160.0
0.19,0.51,0.28,386.0
0.3,0.14,0.19,1571.0
0.21,0.17,0.19,1332.0
0.29,0.36,0.32,420.0
0.1,0.84,0.17,164.0
0.26,0.25,0.26,932.0
0.35,0.07,0.12,2294.0
0.33,0.88,0.48,180.0
0.66,0.5,0.57,1033.0
0.37,0.29,0.32,431.0
0.15,0.58,0.24,367.0
0.25,0.27,0.26,582.0
0.28120653049271543,0.28120653049271543,0.28120653049271543,0.28120653049271543
0.33,0.43,0.33,13659.0
0.34,0.28,0.27,13659.0
0.5626326963906582,0.5626326963906582,0.5626326963906582,0.5626326963906582
