precision,recall,f1-score,support
0.96,0.74,0.83,1524.0
0.75,0.8,0.78,645.0
0.76,0.82,0.79,570.0
0.97,1.0,0.98,454.0
0.81,0.97,0.88,614.0
0.85,0.99,0.92,160.0
0.82,0.93,0.87,386.0
0.88,0.78,0.82,1571.0
0.82,0.81,0.81,1332.0
0.73,0.91,0.81,420.0
0.42,0.98,0.59,164.0
0.88,0.92,0.9,932.0
0.95,0.76,0.84,2294.0
0.83,1.0,0.9,180.0
0.98,0.91,0.94,1033.0
0.83,0.91,0.87,431.0
0.83,0.96,0.89,367.0
0.64,0.92,0.75,582.0
0.843253532469434,0.843253532469434,0.843253532469434,0.843253532469434
0.82,0.9,0.84,13659.0
0.86,0.84,0.85,13659.0
0.9700563730873417,0.9700563730873417,0.9700563730873417,0.9700563730873417
