precision,recall,f1-score,support
0.52,0.56,0.54,1140.0
0.27,0.21,0.23,530.0
0.31,0.1,0.15,462.0
0.87,0.79,0.83,394.0
0.8,0.63,0.71,518.0
0.69,0.64,0.67,131.0
0.6,0.34,0.43,325.0
0.38,0.16,0.22,1117.0
0.3,0.5,0.38,981.0
0.4,0.26,0.31,328.0
0.0,0.0,0.0,143.0
0.4,0.62,0.49,743.0
0.37,0.66,0.47,1545.0
0.52,0.08,0.14,158.0
0.6,0.88,0.71,792.0
0.54,0.07,0.12,359.0
0.71,0.11,0.18,274.0
0.63,0.07,0.13,440.0
0.4480732177263969,0.4480732177263969,0.4480732177263969,0.4480732177263969
0.5,0.37,0.37,10380.0
0.47,0.45,0.41,10380.0
0.7534682080924856,0.7534682080924856,0.7534682080924856,0.7534682080924856
