precision,recall,f1-score,support
0.35,0.61,0.45,1140.0
0.21,0.02,0.03,530.0
1.0,0.0,0.0,462.0
0.95,0.74,0.83,394.0
0.86,0.61,0.71,518.0
0.86,0.58,0.69,131.0
0.44,0.31,0.37,325.0
0.33,0.09,0.15,1117.0
0.26,0.36,0.3,981.0
0.53,0.13,0.21,328.0
0.0,0.0,0.0,143.0
0.43,0.53,0.48,743.0
0.31,0.69,0.43,1545.0
0.53,0.43,0.48,158.0
0.65,0.83,0.73,792.0
0.53,0.1,0.16,359.0
0.36,0.06,0.11,274.0
0.64,0.03,0.06,440.0
0.40857418111753374,0.40857418111753374,0.40857418111753374,0.40857418111753374
0.51,0.34,0.34,10380.0
0.46,0.41,0.36,10380.0
0.7149325626204239,0.7149325626204239,0.7149325626204239,0.7149325626204239
