precision,recall,f1-score,support
0.78,0.86,0.82,1133.0
0.73,0.64,0.68,449.0
0.69,0.53,0.6,360.0
0.96,0.94,0.95,392.0
0.94,0.93,0.94,484.0
0.91,0.91,0.91,122.0
0.75,0.8,0.78,285.0
0.74,0.68,0.71,928.0
0.57,0.6,0.58,745.0
0.84,0.78,0.81,249.0
0.8,0.51,0.62,86.0
0.83,0.9,0.86,630.0
0.72,0.84,0.77,1167.0
0.75,0.77,0.76,155.0
0.94,0.91,0.92,729.0
0.74,0.8,0.77,277.0
0.78,0.78,0.78,233.0
0.77,0.42,0.54,317.0
0.7767989932502002,0.7767989932502002,0.7767989932502002,0.7767989932502002
0.79,0.76,0.77,8741.0
0.78,0.78,0.77,8741.0
0.9505777371010182,0.9505777371010182,0.9505777371010182,0.9505777371010182
