precision,recall,f1-score,support
0.64,0.7,0.67,1140.0
0.42,0.28,0.34,530.0
0.43,0.27,0.33,462.0
0.95,0.91,0.93,394.0
0.96,0.77,0.85,518.0
0.82,0.82,0.82,131.0
0.58,0.5,0.53,325.0
0.54,0.53,0.53,1117.0
0.52,0.38,0.44,981.0
0.53,0.41,0.46,328.0
0.0,0.0,0.0,143.0
0.58,0.82,0.68,743.0
0.48,0.76,0.59,1545.0
0.56,0.47,0.51,158.0
0.83,0.89,0.86,792.0
0.63,0.54,0.58,359.0
0.53,0.4,0.46,274.0
0.53,0.25,0.34,440.0
0.5947976878612716,0.5947976878612716,0.5947976878612716,0.5947976878612716
0.58,0.54,0.55,10380.0
0.59,0.59,0.58,10380.0
0.838728323699422,0.838728323699422,0.838728323699422,0.838728323699422
