precision,recall,f1-score,support
0.67,0.84,0.74,1133.0
0.6,0.46,0.52,449.0
0.56,0.26,0.36,360.0
0.99,0.89,0.94,392.0
0.94,0.84,0.89,484.0
0.84,0.88,0.86,122.0
0.58,0.34,0.43,285.0
0.64,0.69,0.66,928.0
0.62,0.44,0.52,745.0
0.44,0.81,0.57,249.0
0.0,0.0,0.0,86.0
0.54,0.81,0.65,630.0
0.73,0.78,0.75,1167.0
0.81,0.79,0.8,155.0
0.85,0.96,0.9,729.0
0.9,0.62,0.73,277.0
0.56,0.41,0.47,233.0
0.76,0.49,0.6,317.0
0.6912252602677039,0.6912252602677039,0.6912252602677039,0.6912252602677039
0.67,0.63,0.63,8741.0
0.69,0.69,0.68,8741.0
0.8995538267932731,0.8995538267932731,0.8995538267932731,0.8995538267932731
