precision,recall,f1-score,support
0.58,0.87,0.7,1133.0
0.46,0.33,0.38,449.0
0.53,0.21,0.3,360.0
0.95,0.93,0.94,392.0
0.96,0.79,0.87,484.0
0.93,0.86,0.89,122.0
0.56,0.57,0.56,285.0
0.43,0.62,0.51,928.0
0.41,0.28,0.34,745.0
0.59,0.65,0.62,249.0
0.53,0.27,0.36,86.0
0.56,0.75,0.64,630.0
0.75,0.59,0.66,1167.0
0.69,0.6,0.64,155.0
0.82,0.92,0.87,729.0
0.77,0.56,0.65,277.0
0.59,0.34,0.43,233.0
0.43,0.25,0.32,317.0
0.6216680013728406,0.6216680013728406,0.6216680013728406,0.6216680013728406
0.64,0.58,0.59,8741.0
0.63,0.62,0.61,8741.0
0.8818213019105365,0.8818213019105365,0.8818213019105365,0.8818213019105365
