,precision,recall,f1-score,support
0,0.79,0.94,0.86,1140.0
1,0.82,0.77,0.8,530.0
2,0.83,0.75,0.79,462.0
3,0.98,0.99,0.99,394.0
4,0.91,0.95,0.93,518.0
5,0.9,0.98,0.94,131.0
6,0.86,0.95,0.9,325.0
7,0.83,0.85,0.84,1117.0
8,0.79,0.88,0.83,981.0
9,0.96,0.77,0.86,328.0
10,0.71,0.79,0.75,143.0
11,0.95,0.88,0.91,743.0
12,0.93,0.81,0.87,1545.0
13,0.92,0.96,0.94,158.0
14,0.96,0.95,0.95,792.0
15,0.9,0.86,0.88,359.0
16,0.86,0.95,0.9,274.0
17,0.9,0.8,0.85,440.0
accuracy,0.8726396917148362,0.8726396917148362,0.8726396917148362,0.8726396917148362
macro avg,0.88,0.88,0.88,10380.0
weighted avg,0.88,0.87,0.87,10380.0
top_3_accuracy,0.9808285163776493,0.9808285163776493,0.9808285163776493,0.9808285163776493
