,precision,recall,f1-score,support
Ayeyarwady,0.94,0.96,0.95,1283.0
Bago (East),0.96,0.9,0.93,498.0
Bago (West),0.95,0.91,0.93,402.0
Chin,0.99,0.97,0.98,451.0
Kachin,0.94,0.98,0.96,552.0
Kayah,0.97,0.97,0.97,148.0
Kayin,0.98,0.96,0.97,333.0
Magway,0.93,0.96,0.95,1138.0
Mandalay,0.94,0.95,0.95,903.0
Mon,0.97,0.98,0.98,311.0
Nay Pyi Taw,0.97,0.91,0.94,96.0
Rakhine,0.96,0.96,0.96,755.0
Sagaing,0.97,0.95,0.96,1559.0
Shan (East),0.79,0.91,0.85,172.0
Shan (North),0.95,0.96,0.96,915.0
Shan (South),0.95,0.84,0.89,330.0
Tanintharyi,0.92,0.97,0.95,311.0
Yangon,0.96,0.93,0.94,403.0
accuracy,0.9504734848484848,0.9504734848484848,0.9504734848484848,0.9504734848484848
macro avg,0.95,0.94,0.94,10560.0
weighted avg,0.95,0.95,0.95,10560.0
top_3_accuracy,0.997064393939394,0.997064393939394,0.997064393939394,0.997064393939394
