,precision,recall,f1-score,support
Ayeyarwady,0.97,0.96,0.96,1283.0
Bago (East),0.98,0.94,0.96,498.0
Bago (West),0.94,0.97,0.95,402.0
Chin,0.97,0.96,0.97,451.0
Kachin,0.96,0.94,0.95,552.0
Kayah,0.95,0.97,0.96,148.0
Kayin,0.98,0.95,0.96,333.0
Magway,0.96,0.94,0.95,1138.0
Mandalay,0.93,0.96,0.94,903.0
Mon,0.95,0.99,0.97,311.0
Nay Pyi Taw,0.94,0.97,0.95,96.0
Rakhine,0.97,0.95,0.96,755.0
Sagaing,0.95,0.95,0.95,1559.0
Shan (East),0.85,0.96,0.9,172.0
Shan (North),0.96,0.95,0.95,915.0
Shan (South),0.88,0.94,0.91,330.0
Tanintharyi,0.92,0.95,0.93,311.0
Yangon,0.96,0.96,0.96,403.0
accuracy,0.9527462121212121,0.9527462121212121,0.9527462121212121,0.9527462121212121
macro avg,0.95,0.96,0.95,10560.0
weighted avg,0.95,0.95,0.95,10560.0
top_3_accuracy,0.9980113636363637,0.9980113636363637,0.9980113636363637,0.9980113636363637
