,precision,recall,f1-score,support
Ayeyarwady,0.91,0.94,0.93,1283.0
Bago (East),0.89,0.77,0.83,498.0
Bago (West),0.91,0.79,0.85,402.0
Chin,0.98,0.97,0.98,451.0
Kachin,0.98,0.98,0.98,552.0
Kayah,0.95,0.97,0.96,148.0
Kayin,0.94,0.96,0.95,333.0
Magway,0.86,0.94,0.9,1138.0
Mandalay,0.9,0.88,0.89,903.0
Mon,0.92,0.98,0.95,311.0
Nay Pyi Taw,0.97,0.79,0.87,96.0
Rakhine,0.97,0.97,0.97,755.0
Sagaing,0.93,0.96,0.95,1559.0
Shan (East),0.75,0.94,0.83,172.0
Shan (North),0.98,0.98,0.98,915.0
Shan (South),0.93,0.76,0.83,330.0
Tanintharyi,0.97,0.94,0.95,311.0
Yangon,0.94,0.85,0.89,403.0
accuracy,0.9254734848484848,0.9254734848484848,0.9254734848484848,0.9254734848484848
macro avg,0.93,0.91,0.92,10560.0
weighted avg,0.93,0.93,0.92,10560.0
top_3_accuracy,0.9914772727272727,0.9914772727272727,0.9914772727272727,0.9914772727272727
