,precision,recall,f1-score,support
0,0.77,0.91,0.83,1561.0
1,0.9,0.75,0.82,648.0
2,0.75,0.81,0.78,571.0
3,0.99,0.99,0.99,434.0
4,0.98,0.88,0.93,620.0
5,0.98,0.95,0.96,174.0
6,0.97,0.87,0.92,381.0
7,0.83,0.82,0.83,1580.0
8,0.9,0.76,0.83,1334.0
9,0.94,0.8,0.86,401.0
10,0.72,0.77,0.74,149.0
11,0.88,0.92,0.9,932.0
12,0.83,0.87,0.84,2310.0
13,0.95,0.96,0.96,175.0
14,0.96,0.94,0.95,1004.0
15,0.91,0.88,0.89,428.0
16,0.96,0.89,0.93,372.0
17,0.8,0.85,0.83,585.0
accuracy,0.86,0.86,0.86,0.86
macro avg,0.89,0.87,0.88,13659.0
weighted avg,0.87,0.86,0.86,13659.0
